timestamp,left_elbow,right_elbow,left_knee,right_knee,shoulder_alignment,hip_alignment,posture_ok
2026-03-31T11:02:55.325,,,,,0.1396,,0
2026-03-31T11:02:55.637,,,,,0.1437,,0
2026-03-31T11:02:55.915,,,,,0.1500,,0
2026-03-31T11:02:56.183,,,,,0.1529,,0
2026-03-31T11:02:56.472,,,,,0.1537,,0
2026-03-31T11:02:56.745,,,,,0.1517,,0
2026-03-31T11:02:57.015,,,,,0.1383,,0
2026-03-31T11:02:57.289,,,,,0.1308,,0
2026-03-31T11:02:57.590,,,,,0.1429,,0
2026-03-31T11:02:57.867,,,,,0.1200,,0
2026-03-31T11:02:58.155,,,,,0.1246,,0
2026-03-31T11:02:58.434,,,,,0.1517,,0
2026-03-31T11:02:58.753,,,,,0.1546,,0
2026-03-31T11:02:59.121,,,,,0.0908,,0
2026-03-31T11:02:59.500,43.92,,,,0.0333,,0
2026-03-31T11:02:59.854,40.72,,,,0.0225,,0
2026-03-31T11:03:00.215,36.99,,,,0.0329,,0
2026-03-31T11:03:00.608,59.17,,,,0.0462,,0
2026-03-31T11:03:00.927,107.55,,,,0.0404,,0
2026-03-31T11:03:01.282,135.12,,,,0.0221,,0
2026-03-31T11:03:01.642,153.83,,,,0.0100,,0
2026-03-31T11:03:01.996,162.16,,,,0.0225,,1
2026-03-31T11:03:02.357,161.88,,,,0.0312,,0
2026-03-31T11:03:02.728,159.98,,,,0.0154,,1
2026-03-31T11:03:03.091,159.90,,,,0.0087,,1
2026-03-31T11:03:03.468,161.83,,,,0.0279,,1
2026-03-31T11:03:03.833,162.69,,,,0.0400,,0
2026-03-31T11:03:04.186,162.45,,,,0.0421,,0
2026-03-31T11:03:04.543,162.32,,,,0.0446,,0
2026-03-31T11:03:04.894,162.67,,,,0.0475,,0
2026-03-31T11:03:05.256,163.73,,,,0.0471,,0
2026-03-31T11:03:05.623,165.29,,,,0.0442,,0
2026-03-31T11:03:05.991,166.10,,,,0.0433,,0
2026-03-31T11:03:06.354,162.16,,,,0.0437,,0
2026-03-31T11:03:06.726,155.19,,,,0.0458,,0
2026-03-31T11:03:07.090,151.96,,,,0.0483,,0
2026-03-31T11:03:07.460,150.98,,,,0.0492,,0
2026-03-31T11:03:07.825,150.06,,,,0.0475,,0
2026-03-31T11:03:08.186,150.72,,,,0.0450,,0
2026-03-31T11:03:08.561,147.86,,,,0.0396,,0
2026-03-31T11:03:08.937,135.01,,,,0.0354,,0
2026-03-31T11:03:09.300,120.11,,,,0.0250,,0
2026-03-31T11:03:09.685,95.07,,,,0.0138,,0
2026-03-31T11:03:10.056,69.27,,,,0.0229,,0
2026-03-31T11:03:10.399,64.14,,,,0.0242,,0
2026-03-31T11:03:10.756,58.57,,,,0.0175,,0
